"stratum","tier","method","n_pos","n_neg","auc"
ALL,broad,IC025,114,147,0.812
NO_MASK_DRUG,broad,IC025,114,147,0.811
EXPEDITED,broad,IC025,114,147,0.782
SERIOUS,broad,IC025,114,147,0.779
ALL,broad,PRR,114,147,0.595
NO_MASK_DRUG,broad,PRR,114,147,0.593
EXPEDITED,broad,PRR,114,147,0.504
SERIOUS,broad,PRR,114,147,0.493
ALL,broad,ROR,114,147,0.768
NO_MASK_DRUG,broad,ROR,114,147,0.768
EXPEDITED,broad,ROR,114,147,0.714
SERIOUS,broad,ROR,114,147,0.704
NO_MASK_DRUG,narrow,IC025,114,147,0.787
ALL,narrow,IC025,114,147,0.787
EXPEDITED,narrow,IC025,114,147,0.756
SERIOUS,narrow,IC025,114,147,0.730
ALL,narrow,PRR,114,147,0.576
NO_MASK_DRUG,narrow,PRR,114,147,0.574
SERIOUS,narrow,PRR,114,147,0.480
EXPEDITED,narrow,PRR,114,147,0.478
NO_MASK_DRUG,narrow,ROR,114,147,0.740
ALL,narrow,ROR,114,147,0.740
SERIOUS,narrow,ROR,114,147,0.681
EXPEDITED,narrow,ROR,114,147,0.675
