"ingredient","rept_cod","cases","pct_of_drug"
ABALOPARATIDE,PER,14985,93.9
ABALOPARATIDE,EXP,854,5.4
ABALOPARATIDE,DIR,115,0.7
ACETAMINOPHEN,EXP,4994,60.2
ACETAMINOPHEN,PER,3216,38.8
ACETAMINOPHEN,DIR,72,0.9
ACETAMINOPHEN,"30DAY",9,0.1
ADALIMUMAB,EXP,4505,73.0
ADALIMUMAB,PER,1306,21.2
ADALIMUMAB,DIR,314,5.1
ADALIMUMAB,"30DAY",44,0.7
BIMEKIZUMAB-BKZX,PER,9149,89.8
BIMEKIZUMAB-BKZX,EXP,1015,10.0
BIMEKIZUMAB-BKZX,DIR,16,0.2
BIMEKIZUMAB-BKZX,"30DAY",6,0.1
COPPER,EXP,3239,57.1
COPPER,PER,2424,42.7
COPPER,DIR,10,0.2
CORTICOTROPIN,PER,5147,94.3
CORTICOTROPIN,EXP,281,5.1
CORTICOTROPIN,DIR,32,0.6
DUPILUMAB,PER,60236,90.8
DUPILUMAB,EXP,5822,8.8
DUPILUMAB,DIR,276,0.4
DUPILUMAB,"30DAY",17,0.0
HUMAN IMMUNOGLOBULIN G,EXP,3970,69.8
HUMAN IMMUNOGLOBULIN G,PER,1500,26.4
HUMAN IMMUNOGLOBULIN G,DIR,216,3.8
LENALIDOMIDE,PER,6101,58.3
LENALIDOMIDE,EXP,3118,29.8
LENALIDOMIDE,DIR,1240,11.9
RISANKIZUMAB-RZAA,EXP,9111,82.3
RISANKIZUMAB-RZAA,PER,1675,15.1
RISANKIZUMAB-RZAA,DIR,281,2.5
SEMAGLUTIDE,EXP,6060,92.8
SEMAGLUTIDE,DIR,328,5.0
SEMAGLUTIDE,PER,111,1.7
SEMAGLUTIDE,"30DAY",30,0.5
SOMATROPIN,"30DAY",4920,75.6
SOMATROPIN,PER,1046,16.1
SOMATROPIN,EXP,509,7.8
SOMATROPIN,DIR,29,0.4
SOMATROPIN,"5DAY",2,0.0
TIRZEPATIDE,PER,27142,77.2
TIRZEPATIDE,EXP,5993,17.1
TIRZEPATIDE,DIR,1912,5.4
TIRZEPATIDE,"30DAY",100,0.3
UPADACITINIB,EXP,7456,85.8
UPADACITINIB,PER,885,10.2
UPADACITINIB,DIR,352,4.0
VEDOLIZUMAB,EXP,8300,88.1
VEDOLIZUMAB,PER,1098,11.7
VEDOLIZUMAB,DIR,20,0.2
